"","SYMBOL","ID","logFC","P.Value"
"1564658_at","NAT16","1564658_at",0.659859527163055,0.0736587981550034
"223674_s_at","CDC42SE1","223674_s_at",0.659298173723797,0.135504693706147
"226928_x_at","SLC25A37","226928_x_at",0.658328596107748,0.292739681926048
"231812_x_at","PHAX","231812_x_at",0.658256418625232,0.0124635105511069
"213701_at","C12orf29","213701_at",0.658154246912694,0.238287409288593
"1570259_at","LIMS1","1570259_at",0.657332981225874,0.0507469693096475
"235213_at","ITPKB","235213_at",0.65503008535223,0.210866550178474
"1560445_x_at","ARHGEF1","1560445_x_at",0.654773399561027,0.0644860085422371
"244443_at","LINC01578","244443_at",0.654474684068604,0.190943304865528
"1570505_at","ABCB4","1570505_at",0.654161508659598,0.0332031438895422
"240830_at","SCARNA17","240830_at",0.651115063619678,0.455029757734616
"206647_at","HBZ","206647_at",0.651061252694326,0.425056632492403
"1559025_at","SEPTIN9","1559025_at",0.649555586485294,0.0739700900399835
"227646_at","EBF1","227646_at",0.649516539809123,0.184183837968667
"229072_at","RAB30","229072_at",0.649359634269461,0.1223673838097
"234445_at","ZNRD1ASP","234445_at",0.648115838589902,0.0180207251337331
"242492_at","CLNS1A","242492_at",0.645621257335607,0.167453164541605
"231647_s_at","FCRL5","231647_s_at",0.64524331504413,0.351680964593962
"1570210_x_at","PPP6R2","1570210_x_at",0.644590059216987,0.119933146634478
"235060_at","LOC100190986","235060_at",0.643573452568843,0.231139596220282
"243495_s_at","ZNF652","243495_s_at",0.64328993634762,0.489327171541284
"1555542_at","AFAP1L1","1555542_at",0.642769490899492,0.0319253308725483
"232516_x_at","DAP3","232516_x_at",0.642490238865327,0.0952080421268439
"230609_at","CLINT1","230609_at",0.642225370557161,0.18897279196737
"227504_s_at","MED28","227504_s_at",0.641997243073532,0.025459455549951
"233198_at","GOLGA2P5","233198_at",0.641446626257683,0.0126779401948657
"205267_at","POU2AF1","205267_at",0.641215095988251,0.236039579672648
"236235_at","ITCH","236235_at",0.640328530408051,0.212613485406323
"238220_at","KDM6A","238220_at",0.63914195363921,0.180816178434462
"1560119_at","LINC00937","1560119_at",0.638676481811717,0.0420835002541869
"224046_s_at","PDE7A","224046_s_at",0.638608686254896,0.205033870352855
"227686_at","OXNAD1","227686_at",0.638367747441828,0.0666499659973121
"227412_at","PPP1R3E","227412_at",0.638229943055808,0.0916322957699098
"214595_at","KCNG1","214595_at",0.638137409581163,0.038544090099331
"202028_s_at","RPL38","202028_s_at",0.638034256412742,0.286613264672582
